last_obs_date,ibex_ret_1w,ibex_days,ibex_nstocks,date,macro_sent_w,macro_signal_w,macro_docs_w,macro_days
2025-05-30,-0.0005724417133374142,5,15.0,2025-05-24,0.029579132795333862,1.0,2.0,2.0
2025-06-06,0.0044644200216346006,5,15.0,2025-05-31,,,,
2025-06-13,-0.07624443120353515,5,15.0,2025-06-07,,0.0,2.0,0.0
2025-06-20,0.0021097351668037346,5,15.0,2025-06-14,-0.745945930480957,1.0,1.0,1.0
2025-06-27,0.006147875145744331,5,15.0,2025-06-21,,0.0,2.0,0.0
2025-07-04,0.005636645187919879,5,15.0,2025-06-28,0.4547882676124573,0.5,2.0,1.0
2025-07-11,0.0013704540874669067,5,15.0,2025-07-05,-0.8673153519630432,0.5,2.0,1.0
2025-07-18,0.00035809209275250616,5,15.0,2025-07-12,,0.0,1.0,0.0
2025-07-25,0.009649717606249227,5,15.0,2025-07-19,,,,
2025-08-01,-0.02050640638652526,5,15.0,2025-07-26,-0.5173249840736389,1.0,1.0,1.0
2025-08-08,0.01952044461252619,5,15.0,2025-08-02,0.9065572619438172,1.0,1.0,1.0
2025-08-15,0.026418128652865032,5,15.0,2025-08-09,,,,
2025-08-22,0.009406198515736187,5,15.0,2025-08-16,,,,
2025-08-29,-0.02024494643001764,5,15.0,2025-08-23,,,,
2025-09-05,-0.004565686193447898,5,15.0,2025-08-30,-0.7999724745750427,1.0,1.0,1.0
2025-09-12,0.020979598143837267,5,15.0,2025-09-06,,,,
2025-09-19,-0.013464568128962627,5,15.0,2025-09-13,-0.6655234694480896,1.0,1.0,1.0
2025-09-26,0.006300281665485567,5,15.0,2025-09-20,0.6785293817520142,1.0,1.0,1.0
2025-10-03,0.018604556822285255,5,15.0,2025-09-27,0.8234803378582001,0.6666666666666666,3.0,2.0
2025-10-10,0.0013507527197757245,5,15.0,2025-10-04,0.8786670565605164,1.0,1.0,1.0
2025-10-17,0.013003243689278417,5,15.0,2025-10-11,0.6716321706771851,1.0,1.0,1.0
2025-10-24,0.017571303061852794,5,15.0,2025-10-18,,0.0,1.0,0.0
2025-10-31,-0.012834486327251128,5,15.0,2025-10-25,-0.8348991870880127,1.0,1.0,1.0
2025-11-07,-0.000550793231749292,5,15.0,2025-11-01,-0.498482197523117,0.5,2.0,1.0
2025-11-14,0.01514507258502177,5,15.0,2025-11-08,-0.8401566743850708,0.16666666666666666,4.0,1.0
2025-11-21,0.0923299362646486,5,17.0,2025-11-15,0.1871071060498556,0.3,7.0,2.0
2025-11-28,0.03250413096199472,5,17.0,2025-11-22,0.2240831529392915,0.26190476190476186,9.0,2.0
2025-12-05,0.005111111448998987,5,17.0,2025-11-29,-0.4891929262214237,0.39999999999999997,12.0,5.0
2025-12-12,0.002102080862198613,5,17.0,2025-12-06,0.007641702294349684,0.2422222222222222,23.0,4.0
2025-12-17,0.001308723764335322,3,17.0,2025-12-13,-0.1106618028308546,0.4962009286618826,126.0,2.0
